,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies,Well Name
0,0.07692307692307693,0.39981785063752273,0.29896619167365185,0.45814901604207414,0.7760416666666665,0.21932109843879655,0.5573853559665568,0.0,1.0,3,7
1,0.07692307692307693,0.40072859744990885,0.30273819502654375,0.4561569168363464,0.8880208333333333,0.23186476003010476,0.49404611097035717,0.0,0.978787878787879,3,7
2,0.07692307692307693,0.40163934426229503,0.306417062494179,0.4541648176306187,0.9036458333333333,0.24122426137131167,0.4307068659741576,0.0,0.9565656565656567,3,7
3,0.07692307692307693,0.4025500910746812,0.3392474620471267,0.45217271842489115,0.8802083333333333,0.2424786275304425,0.41803901697491763,0.0,0.9353535353535354,3,7
4,0.07692307692307693,0.4034608378870673,0.2856011921393313,0.446860453876284,0.8697916666666665,0.2460487465987379,0.4053711679756777,0.0,0.9141414141414141,3,7
5,0.07692307692307693,0.4043715846994535,0.28276054763900527,0.43955609012194924,0.8828124999999999,0.24768907157606282,0.4307068659741576,0.0,0.8929292929292929,3,7
6,0.07692307692307693,0.4052823315118397,0.2815963490732979,0.4355718917104939,0.9244791666666665,0.258206449371852,0.44337471497339753,0.0,0.8707070707070708,3,7
7,0.07692307692307693,0.4061930783242258,0.2905839620005588,0.43225172636761444,0.9479166666666665,0.258013469962755,0.41803901697491763,0.0,0.8282828282828283,3,7
8,0.07692307692307693,0.407103825136612,0.281922324671696,0.4315876932990385,0.9401041666666665,0.25917134641733724,0.4053711679756777,0.0,0.8070707070707072,3,7
9,0.07692307692307693,0.40801457194899815,0.2963583868864673,0.4256113956818555,0.9583333333333333,0.26380285223566646,0.41803901697491763,0.0,0.7848484848484849,3,7
10,0.07692307692307693,0.40892531876138427,0.29272608736146033,0.41565089965321717,0.9036458333333333,0.24749609216696578,0.4307068659741576,0.0,0.7636363636363636,3,7
11,0.07692307692307693,0.40983606557377045,0.28732420601657815,0.40436233748742706,0.8645833333333333,0.23427700264381787,0.44337471497339753,0.0,0.7424242424242424,3,7
12,0.07692307692307693,0.4107468123861566,0.2729812796870634,0.3897536099787575,0.8124999999999999,0.23012794534823133,0.41803901697491763,0.0,0.7202020202020202,3,7
13,0.07692307692307693,0.41165755919854274,0.32676725342274376,0.3738168163329362,0.8645833333333333,0.27750439028155693,0.4053711679756777,0.0,0.698989898989899,3,7
14,0.07692307692307693,0.4125683060109289,0.3578746390984446,0.36186422109857014,0.8906249999999999,0.3088635442598274,0.38003546997719784,0.0,0.6777777777777778,2,7
15,0.07692307692307693,0.4134790528233151,0.3022259476576325,0.3273345015326239,0.8255208333333333,0.29738126941855303,0.36736762097795794,0.0,0.6343434343434344,2,7
16,0.07692307692307693,0.4143897996357012,0.26101331843159165,0.30807754254392306,0.7656249999999999,0.28117099905440085,0.36736762097795794,0.0,0.6131313131313132,2,7
17,0.07692307692307693,0.4153005464480874,0.23419018347769394,0.29479688117240527,0.7473958333333333,0.28252185491808024,0.354699771978718,0.0,0.591919191919192,2,7
18,0.07692307692307693,0.41621129326047357,0.23572692558442765,0.2835083190066152,0.7057291666666666,0.2863814431000212,0.34203192297947804,0.0,0.5696969696969697,2,7
19,0.07692307692307693,0.4171220400728597,0.20988171742572412,0.27354782297797686,0.6901041666666665,0.2766359829406202,0.3293640739802381,0.0,0.5484848484848485,2,7
20,0.07692307692307693,0.41803278688524587,0.20191859923628572,0.2622592608121867,0.6614583333333333,0.27499565796329534,0.354699771978718,0.0,0.5272727272727273,2,7
21,0.07692307692307693,0.41894353369763204,0.19893825090807488,0.2509706986463966,0.6770833333333333,0.2684343580539956,0.354699771978718,0.0,0.5060606060606061,2,7
22,0.07692307692307693,0.41985428051001816,0.23479556673186178,0.24565843409778945,0.6744791666666666,0.2739342712132615,0.354699771978718,0.0,0.48383838383838385,2,7
23,0.07692307692307693,0.42076502732240434,0.24657725621682033,0.2443303679606377,0.6953124999999999,0.2814604681680465,0.354699771978718,0.0,0.4626262626262626,2,7
24,0.07692307692307693,0.4216757741347905,0.22361926050107106,0.24698650023494123,0.6770833333333333,0.28811825778189465,0.354699771978718,0.0,0.4414141414141415,2,7
