,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR6
1,5309,60.086,10.81,2.7,0,2,0.19945,0.0065789,9.6166
2,5309.5,46.22,6.792,2.727,0,1,0.13949,0.090533,6.0003
3,5310,32.395,2.575,2.754,0,1,0.086464,0.074556,2.0935
4,5310.5,25.297,2.516,2.783,0,1,0.06161,0.057396,2.175
5,5311,23.812,2.656,2.822,0,1,0.056601,0.03432,2.3336
6,5311.5,22.821,2.656,2.809,0,1,0.053294,0.042012,2.3572
7,5312,21.742,2.656,2.772,0,1,0.049726,0.063905,2.3896
8,5312.5,21.105,2.032,2.736,0,1,0.047635,0.085207,1.7888
9,5313,20.472,1.408,2.731,0,1,0.045568,0.088166,1.1787
10,5313.5,19.736,1.234,2.726,0,1,0.04318,0.091124,1.0205
11,5314,19.083,1.061,2.723,0,1,0.041073,0.092899,0.86101
12,5314.5,18.361,0.889,2.719,0,1,0.038758,0.095266,0.70409
13,5315,17.712,0.724,2.715,0,1,0.036689,0.097633,0.55268
14,5315.5,17.38,0.735,2.711,0,1,0.035635,0.1,0.57119
15,5316,17.093,0.745,2.71,0,2,0.034727,0,0.53664
16,5316.5,16.775,0.755,2.712,0,1,0.033723,0.099408,0.60237
17,5317,16.577,0.765,2.715,0,1,0.033099,0.097633,0.61522
18,5317.5,16.559,0.719,2.719,0,1,0.033042,0.095266,0.56838
19,5318,16.562,0.679,2.711,0,1,0.033052,0.1,0.53069
20,5318.5,16.556,0.639,2.702,0,2,0.033033,0.0052632,0.44343
21,5319,16.558,0.598,2.709,0,2,0.033039,0.00065789,0.40009
22,5319.5,16.922,0.557,2.722,0,1,0.034186,0.093491,0.39863
23,5320,17.618,0.523,2.72,0,1,0.03639,0.094675,0.35199
24,5320.5,18.391,0.522,2.68,0,2,0.038854,0.019737,0.29875
25,5321,19.496,0.522,2.684,0,2,0.042404,0.017105,0.27613
26,5321.5,20.742,0.551,2.692,0,2,0.046448,0.011842,0.27823
27,5322,21.702,0.591,2.692,0,2,0.049594,0.011842,0.29936
28,5322.5,21.695,0.632,2.694,0,2,0.049571,0.010526,0.33984
29,5323,21.705,0.672,2.693,0,2,0.049604,0.011184,0.37997
30,5323.5,21.325,0.713,2.704,0,2,0.048356,0.0039474,0.42484
31,5324,19.642,0.754,2.722,0,1,0.042876,0.093491,0.54349
32,5324.5,18.431,0.794,2.72,0,1,0.038982,0.094675,0.60745
33,5325,17.665,0.834,2.711,0,1,0.03654,0.1,0.66476
34,5325.5,17.846,0.885,2.704,0,2,0.037115,0.0039474,0.66428
35,5326,19.135,0.856,2.704,0,2,0.041241,0.0039474,0.61053
36,5326.5,19.117,0.819,2.706,0,2,0.041183,0.0026316,0.57322
37,5327,18.031,0.781,2.704,0,2,0.037705,0.0039474,0.55675
38,5327.5,17.615,0.744,2.702,0,2,0.036381,0.0052632,0.52835
39,5328,17.295,0.706,2.71,0,2,0.035366,0,0.4938
40,5328.5,17.281,0.668,2.714,0,1,0.035322,0.098225,0.50518
41,5329,18.136,0.644,2.711,0,2,0.038039,-0.00065789,0.41543
