,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1,5309,60.086,10.81,2.7,0,2,0.19945,0.0065789,10.813
2,5309.5,46.22,6.792,2.727,0,1,0.13949,0.090533,6.8373
3,5310,32.395,2.575,2.754,0,1,0.086464,0.074556,2.6123
4,5310.5,25.297,2.516,2.783,0,1,0.06161,0.057396,2.5447
5,5311,23.812,2.656,2.822,0,1,0.056601,0.03432,2.6732
6,5311.5,22.821,2.656,2.809,0,1,0.053294,0.042012,2.677
7,5312,21.742,2.656,2.772,0,1,0.049726,0.063905,2.688
8,5312.5,21.105,2.032,2.736,0,1,0.047635,0.085207,2.0746
9,5313,20.472,1.408,2.731,0,1,0.045568,0.088166,1.4521
10,5313.5,19.736,1.234,2.726,0,1,0.04318,0.091124,1.2796
11,5314,19.083,1.061,2.723,0,1,0.041073,0.092899,1.1074
12,5314.5,18.361,0.889,2.719,0,1,0.038758,0.095266,0.93663
13,5315,17.712,0.724,2.715,0,1,0.036689,0.097633,0.77282
14,5315.5,17.38,0.735,2.711,0,1,0.035635,0.1,0.785
15,5316,17.093,0.745,2.71,0,2,0.034727,0,0.745
16,5316.5,16.775,0.755,2.712,0,1,0.033723,0.099408,0.8047
17,5317,16.577,0.765,2.715,0,1,0.033099,0.097633,0.81382
18,5317.5,16.559,0.719,2.719,0,1,0.033042,0.095266,0.76663
19,5318,16.562,0.679,2.711,0,1,0.033052,0.1,0.729
20,5318.5,16.556,0.639,2.702,0,2,0.033033,0.0052632,0.64163
21,5319,16.558,0.598,2.709,0,2,0.033039,0.00065789,0.59833
22,5319.5,16.922,0.557,2.722,0,1,0.034186,0.093491,0.60375
23,5320,17.618,0.523,2.72,0,1,0.03639,0.094675,0.57034
24,5320.5,18.391,0.522,2.68,0,2,0.038854,0.019737,0.53187
25,5321,19.496,0.522,2.684,0,2,0.042404,0.017105,0.53055
26,5321.5,20.742,0.551,2.692,0,2,0.046448,0.011842,0.55692
27,5322,21.702,0.591,2.692,0,2,0.049594,0.011842,0.59692
28,5322.5,21.695,0.632,2.694,0,2,0.049571,0.010526,0.63726
29,5323,21.705,0.672,2.693,0,2,0.049604,0.011184,0.67759
30,5323.5,21.325,0.713,2.704,0,2,0.048356,0.0039474,0.71497
31,5324,19.642,0.754,2.722,0,1,0.042876,0.093491,0.80075
32,5324.5,18.431,0.794,2.72,0,1,0.038982,0.094675,0.84134
33,5325,17.665,0.834,2.711,0,1,0.03654,0.1,0.884
34,5325.5,17.846,0.885,2.704,0,2,0.037115,0.0039474,0.88697
35,5326,19.135,0.856,2.704,0,2,0.041241,0.0039474,0.85797
36,5326.5,19.117,0.819,2.706,0,2,0.041183,0.0026316,0.82032
37,5327,18.031,0.781,2.704,0,2,0.037705,0.0039474,0.78297
38,5327.5,17.615,0.744,2.702,0,2,0.036381,0.0052632,0.74663
39,5328,17.295,0.706,2.71,0,2,0.035366,0,0.706
40,5328.5,17.281,0.668,2.714,0,1,0.035322,0.098225,0.71711
41,5329,18.136,0.644,2.711,0,2,0.038039,-0.00065789,0.64367
42,5329.5,18.988,0.644,2.709,0,2,0.040768,0.00065789,0.64433
43,5330,19.868,0.644,2.696,0,2,0.043607,0.0092105,0.64861
44,5330.5,20.721,0.644,2.69,0,2,0.04638,0.013158,0.65058
45,5331,21.306,0.674,2.697,0,2,0.048293,0.0085526,0.67828
46,5331.5,21.693,0.755,2.707,0,2,0.049565,0.0019737,0.75599
47,5332,21.56,0.845,2.704,0,2,0.049127,0.0039474,0.84697
48,5332.5,21.427,0.837,2.69,0,2,0.04869,0.013158,0.84358
49,5333,21.306,0.829,2.69,0,2,0.048293,0.013158,0.83558
50,5333.5,21.177,0.82,2.698,0,2,0.047871,0.0078947,0.82395
51,5334,21.053,0.812,2.708,0,2,0.047465,0.0013158,0.81266
52,5334.5,21.31,0.803,2.706,0,2,0.048307,0.0026316,0.80432
53,5335,22.467,0.795,2.702,0,2,0.05212,0.0052632,0.79763
54,5335.5,23.617,0.786,2.699,0,2,0.055948,0.0072368,0.78962
55,5336,24.78,0.778,2.695,0,2,0.059859,0.0098684,0.78293
56,5336.5,25.922,0.769,2.692,0,2,0.063738,0.011842,0.77492
57,5337,26.344,0.791,2.701,0,2,0.065181,0.0059211,0.79396
58,5337.5,26.042,0.851,2.702,0,2,0.064148,0.0052632,0.85363
59,5338,25.761,1.004,2.697,0,2,0.063189,0.0085526,1.0083
60,5338.5,24.212,1.247,2.699,0,2,0.057944,0.0072368,1.2506
61,5339,22.088,1.485,2.694,0,2,0.050867,0.010526,1.4903
62,5339.5,22.045,1.485,2.676,0,2,0.050725,0.022368,1.4962
63,5340,22.089,1.364,2.666,0,2,0.05087,0.028947,1.3785
64,5340.5,22.046,1.247,2.681,0,2,0.050728,0.019079,1.2565
65,5341,22.676,1.13,2.682,0,2,0.052813,0.018421,1.1392
66,5341.5,23.154,1.012,2.681,0,2,0.054403,0.019079,1.0215
67,5342,22.72,0.975,2.68,0,2,0.052959,0.019737,0.98487
68,5342.5,21.657,0.995,2.684,0,2,0.049446,0.017105,1.0036
69,5343,20.97,1.091,2.701,0,2,0.047193,0.0059211,1.094
70,5343.5,20.961,1.235,2.698,0,2,0.047164,0.0078947,1.2389
71,5344,21.598,1.229,2.671,0,2,0.049252,0.025658,1.2418
72,5344.5,22.466,1.129,2.664,0,2,0.052117,0.030263,1.1441
73,5345,22.587,1.046,2.661,0,2,0.052518,0.032237,1.0621
74,5345.5,21.983,1.046,2.665,0,2,0.05052,0.029605,1.0608
75,5346,21.141,1.164,2.677,0,2,0.047753,0.021711,1.1749
76,5346.5,20.235,1.247,2.668,0,2,0.044797,0.027632,1.2608
77,5347,20.223,1.247,2.663,0,2,0.044759,0.030921,1.2625
78,5347.5,20.235,1.247,2.675,0,2,0.044797,0.023026,1.2585
79,5348,20.222,1.19,2.687,0,2,0.044755,0.015132,1.1976
80,5348.5,21.313,1.11,2.696,0,2,0.048316,0.0092105,1.1146
81,5349,22.06,1.028,2.697,0,2,0.050774,0.0085526,1.0323
82,5349.5,21.902,0.946,2.695,0,2,0.050253,0.0098684,0.95093
83,5350,21.732,0.884,2.692,0,2,0.049693,0.011842,0.88992
84,5350.5,21.594,0.909,2.706,0,2,0.049239,0.0026316,0.91032
85,5351,21.425,1.006,2.704,0,2,0.048684,0.0039474,1.008
86,5351.5,21.498,1.125,2.69,0,2,0.048924,0.013158,1.1316
87,5352,21.95,1.138,2.679,0,2,0.050411,0.020395,1.1482
