Formation,Well_Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
A1 LM,CRAWFORD,2972.5,49.675,0.845,3.905,11.175,3.265,2,1,6
A1 LM,CRAWFORD,2973,34.435,0.879,3.085,8.175,3.831,2,0.991,8
A1 LM,CRAWFORD,2973.5,26.178,0.92,2.615,4.945,4.306,2,0.981,8
A1 LM,CRAWFORD,2974,19.463,0.967,0.82,3.82,4.578,2,0.972,8
A1 LM,CRAWFORD,2974.5,19.26,0.995,0.32,3.63,4.643,2,0.962,8
A1 LM,CRAWFORD,2975,19.985,1.008,0.06,4.32,4.614,2,0.953,8
A1 LM,CRAWFORD,2975.5,22.298,1.002,-0.01,5.5,4.491,2,0.943,8
A1 LM,CRAWFORD,2976,24.611,0.956,0.05,6.87,4.369,2,0.934,8
A1 LM,CRAWFORD,2976.5,24.677,0.824,0.31,6.94,4.047,2,0.915,8
A1 LM,CRAWFORD,2977,24.946,0.667,0.965,5.915,3.893,2,0.906,8
A1 LM,CRAWFORD,2977.5,29.31,0.559,2.11,6.15,3.52,2,0.896,7
A1 LM,CRAWFORD,2978,37.322,0.522,3.375,8.445,3.125,2,0.887,7
A1 LM,CRAWFORD,2978.5,42.142,0.51,3.985,10.785,2.843,2,0.877,7
A1 LM,CRAWFORD,2979,52.434,0.492,4.42,13.15,2.674,2,0.868,4
A1 LM,CRAWFORD,2979.5,63.181,0.473,5.18,14.13,2.644,2,0.858,6
A1 LM,CRAWFORD,2980,69.405,0.465,5.52,14.56,2.663,2,0.849,6
A1 LM,CRAWFORD,2980.5,77.785,0.475,5.82,14.94,2.68,2,0.84,6
A1 LM,CRAWFORD,2981,83.577,0.469,5.965,15.395,2.666,2,0.83,6
A1 LM,CRAWFORD,2981.5,84.058,0.513,6.025,15.855,2.622,2,0.821,6
A1 LM,CRAWFORD,2982,81.82,0.544,5.95,16.05,2.609,2,0.811,6
A1 LM,CRAWFORD,2982.5,80.257,0.563,5.74,16.1,2.626,2,0.802,6
A1 LM,CRAWFORD,2983,79.833,0.579,5.135,15.715,2.662,2,0.792,6
A1 LM,CRAWFORD,2983.5,80.323,0.583,4.565,15.275,2.693,2,0.783,6
A1 LM,CRAWFORD,2984,84.704,0.59,4.365,15.165,2.711,2,0.774,6
A1 LM,CRAWFORD,2984.5,96.674,0.596,4.725,15.565,2.744,2,0.764,6
A1 LM,CRAWFORD,2985,112.662,0.609,4.88,15.71,2.824,2,0.755,6
A1 LM,CRAWFORD,2985.5,131.484,0.634,5.11,15.6,2.935,2,0.745,3
A1 LM,CRAWFORD,2986,138.169,0.659,5.33,15.1,3,2,0.736,3
A1 LM,CRAWFORD,2986.5,135.045,0.682,5.1,14.46,3.048,2,0.726,3
A1 LM,CRAWFORD,2987,117.726,0.707,4.415,13.315,3.097,2,0.717,6
A1 LM,CRAWFORD,2987.5,98.382,0.729,3.395,11.695,3.193,2,0.708,4
A1 LM,CRAWFORD,2988,91.348,0.771,3.235,10.985,3.308,2,0.698,4
A1 LM,CRAWFORD,2988.5,87.05,0.831,3.21,10.64,3.493,2,0.689,4
A1 LM,CRAWFORD,2989,82.98,0.928,2.835,10.115,3.526,2,0.679,4
A1 LM,CRAWFORD,2989.5,67.264,1.019,0.475,8.435,3.217,2,0.67,6
A1 LM,CRAWFORD,2990,57.069,1.047,-2.385,7.115,3.157,2,0.66,8
A1 LM,CRAWFORD,2990.5,46.874,1.066,-3.97,6.6,3.159,2,0.651,8
A1 LM,CRAWFORD,2991,39.325,1.06,-3.69,7.15,3.224,2,0.642,8
A1 LM,CRAWFORD,2991.5,43.946,1.042,-2.73,7.29,3.272,2,0.632,8
A1 LM,CRAWFORD,2992,51.73,1.005,-0.9,7.98,3.29,2,0.623,6
A1 LM,CRAWFORD,2992.5,58.374,0.956,1.46,9.41,3.277,2,0.613,5
A1 LM,CRAWFORD,2993,67.754,0.904,3.985,11.545,3.296,2,0.604,4
A1 LM,CRAWFORD,2993.5,71.206,0.874,5.045,12.915,3.328,2,0.594,4
A1 LM,CRAWFORD,2994,69.188,0.852,4.86,12.85,3.33,2,0.585,4
A1 LM,CRAWFORD,2994.5,58.452,0.841,3.455,11.265,3.332,2,0.575,5
A1 LM,CRAWFORD,2995,38.715,0.816,2.185,9.855,3.365,2,0.566,6
A1 LM,CRAWFORD,2995.5,30.541,0.801,0.96,8.76,3.476,2,0.557,5
A1 LM,CRAWFORD,2996,21.684,0.792,-0.04,8.28,3.774,2,0.547,8
A1 LM,CRAWFORD,2996.5,21.252,0.793,-0.505,9.225,4.041,2,0.538,8
A1 LM,CRAWFORD,2997,23.117,0.793,-0.555,9.895,4.292,2,0.528,8
A1 LM,CRAWFORD,2997.5,28.85,0.791,-0.46,9.89,4.371,2,0.519,8
A1 LM,CRAWFORD,2998,36.226,0.788,-0.085,9.175,4.112,2,0.509,8
A1 LM,CRAWFORD,2998.5,42.83,0.801,0.41,8.49,3.91,2,0.5,5
A1 LM,CRAWFORD,2999,46.846,0.82,1.255,8.275,3.793,2,0.491,6
A1 LM,CRAWFORD,2999.5,48.133,0.845,1.77,8.29,3.486,2,0.481,6
A1 LM,CRAWFORD,3000,43.162,0.874,1.35,8.64,3.263,2,0.472,6
A1 LM,CRAWFORD,3000.5,36.586,0.92,1.01,8.74,3.187,2,0.462,6
A1 LM,CRAWFORD,3001,32.746,0.955,0.625,8.535,3.173,2,0.453,6
A1 LM,CRAWFORD,3001.5,30.957,0.974,0.565,8.555,3.315,2,0.443,6
A1 LM,CRAWFORD,3002,30.765,0.981,0.545,8.575,3.441,2,0.434,6
A1 LM,CRAWFORD,3002.5,31.265,0.987,0.625,8.425,3.618,2,0.425,6
A1 LM,CRAWFORD,3003,33.124,0.994,0.755,8.045,3.943,2,0.415,6
A1 LM,CRAWFORD,3003.5,35.211,0.997,0.635,7.555,4.07,2,0.406,6
A1 LM,CRAWFORD,3004,36.386,0.988,0.125,7.135,3.885,2,0.396,6
A1 LM,CRAWFORD,3004.5,38.017,0.951,-0.175,6.875,3.654,2,0.387,6
A1 LM,CRAWFORD,3005,41.016,0.903,0.055,6.825,3.438,2,0.377,6
A1 LM,CRAWFORD,3005.5,49.654,0.854,1.52,7.51,3.33,2,0.368,6
A1 LM,CRAWFORD,3006,62.068,0.799,3.1,9.13,3.209,2,0.358,6
A1 LM,CRAWFORD,3006.5,71.222,0.74,4,10.98,3.087,2,0.349,4
A1 LM,CRAWFORD,3007,73.309,0.691,4.015,12.425,2.98,2,0.34,4
A1 LM,CRAWFORD,3007.5,69.469,0.627,3.19,13.37,2.904,2,0.33,4
A1 LM,CRAWFORD,3008,65.857,0.559,2.1,14.08,2.859,2,0.321,4
A1 LM,CRAWFORD,3008.5,58.369,0.504,0.715,14.235,2.83,2,0.311,4
A1 LM,CRAWFORD,3009,56.125,0.435,-0.775,13.415,2.786,2,0.302,6
A1 LM,CRAWFORD,3009.5,56.769,0.378,-1.155,12.805,2.726,2,0.292,8
A1 LM,CRAWFORD,3010,62.587,0.298,-0.18,12.87,2.588,2,0.283,3
A1 LM,CRAWFORD,3010.5,64.674,0.252,0.24,14.42,2.465,2,0.274,3
A1 LM,CRAWFORD,3011,64.253,0.212,0.24,16.36,2.374,2,0.264,3
A1 LM,CRAWFORD,3011.5,61.553,0.166,-0.295,18.395,2.329,2,0.255,3
A1 LM,CRAWFORD,3012,60.221,0.114,-0.59,19.27,2.315,2,0.245,3
A1 LM,CRAWFORD,3012.5,59.116,0.093,-0.655,19.655,2.302,2,0.236,3
A1 LM,CRAWFORD,3013,57.997,0.081,-0.8,19.69,2.258,2,0.226,3
A1 LM,CRAWFORD,3013.5,57.363,0.091,-1.105,19.095,2.243,2,0.217,3
A1 LM,CRAWFORD,3014,57.863,0.144,-1.27,18.12,2.261,2,0.208,3
A1 LM,CRAWFORD,3014.5,59.038,0.206,-1.26,17.03,2.326,2,0.198,3
A1 LM,CRAWFORD,3015,60.213,0.29,-1.04,16.68,2.409,2,0.189,3
A1 LM,CRAWFORD,3015.5,61.16,0.368,-0.14,16.68,2.781,2,0.179,3
A1 LM,CRAWFORD,3016,58.46,0.468,-0.25,15.21,3.327,2,0.17,8
A1 LM,CRAWFORD,3016.5,53.48,0.564,0.36,11.47,3.796,2,0.16,8
A1 LM,CRAWFORD,3017,51.692,0.657,0.825,8.125,4.062,2,0.151,8
A1 LM,CRAWFORD,3017.5,67.238,0.807,1.7,7.13,4.173,2,0.142,8
A1 LM,CRAWFORD,3018,74.796,0.89,2.905,7.335,4.19,2,0.132,8
A1 LM,CRAWFORD,3018.5,75.743,0.925,3.055,7.765,4.302,2,0.123,8
A1 LM,CRAWFORD,3019,70.991,0.928,2.325,7.785,4.444,2,0.113,8
A1 LM,CRAWFORD,3019.5,57.348,0.929,1.355,7.395,4.492,2,0.104,4
A1 LM,CRAWFORD,3020,46.213,0.929,0.67,7.43,4.385,2,0.094,4
A1 LM,CRAWFORD,3020.5,42.116,0.926,0.19,7.17,4.201,2,0.085,4
A1 LM,CRAWFORD,3021,44.925,0.918,-0.19,6.69,4.093,2,0.075,8
A1 LM,CRAWFORD,3021.5,55.903,0.912,0.07,5.72,4.034,2,0.066,8
A1 LM,CRAWFORD,3022,66.196,0.906,0.495,5.375,3.958,2,0.057,8
A1 LM,CRAWFORD,3022.5,73.526,0.894,1.44,5.26,3.82,2,0.047,8
