,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,20449.207451892344,22398.502969652593,16392.053150657008,6992.966353474042,21593.84021722318,288.38218977345167,23644.12091041332,-5884.9010398924975,9800.837028076472,-6212.71170453499,21554.63525978537,-12707.725924713965,5834.877838783135,20423.502947300847,-13237.283422785009,20306.73744122609,-12955.651459434715,-15076.384846948675,-15214.384508990319,-15273.482517807633,0
1,20449.878004186034,22398.86059754256,16392.58959249196,6992.653429070319,21592.36500217706,285.2082422499801,23640.544631513632,-5889.416092003351,9798.02070844297,-6215.438617196,21550.164911160762,-12711.704534989865,5833.715548140737,20418.898488217503,-13239.965631959774,20303.78701113385,-12958.959517416926,-15080.005829334606,-15215.770317063947,-15277.05879670732,0
2,20449.25215537859,22398.055934790133,16391.5614123083,6992.07228374912,21588.83342676362,279.79912041420465,23636.208393347762,-5893.662923196728,9795.562016699434,-6222.5464715091275,21545.918079967385,-12718.633575358008,5829.021682084899,20414.562250051633,-13247.475817649116,20299.13784856426,-12967.006144941219,-15087.82893942767,-15223.995758533225,-15284.881906800383,0
3,20447.106388038777,22396.178388367796,16391.11437744584,6992.474615125336,21587.58172914873,278.41331234057617,23631.33571334694,-5895.58517310531,9792.119848258486,-6223.708762151526,21541.447731342778,-12720.600528752835,5827.725280983763,20409.91308748204,-13250.515654713849,20294.22046507719,-12969.688354115984,-15089.304154473792,-15226.543857249251,-15286.357121846504,0
4,20444.960620698967,22393.943214055493,16391.5614123083,6994.039237143948,21586.240624561346,278.94975417552916,23628.653504172176,-5894.467585949158,9790.912854129841,-6225.228680683892,21538.184376846813,-12723.461551872584,5825.355996212721,20407.141471334784,-13251.588538383754,20291.85118030615,-12971.610604024565,-15091.852253189818,-15228.644921102818,-15289.531069369976,0
5,20442.904260331645,22392.37859203688,16391.829633225778,6994.262754575178,21584.139560707783,277.742760046885,23623.825527657602,-5895.093434756603,9786.353098532742,-6226.212157381306,21533.08817941476,-12726.00965058861,5821.60090336805,20400.927686746578,-13254.628375448488,20285.816209662928,-12973.979888795608,-15094.400351905844,-15231.908275598782,-15291.408615792312,0
6,20444.91591721272,22394.569062862938,16395.852946987925,6996.140300997514,21584.676002542736,279.1285681205135,23623.69141719886,-5893.126481361775,9784.296738165423,-6226.927413161243,21532.73055152479,-12723.8638832488,5821.019758046851,20400.79357628784,-13253.46608480609,20285.279767827975,-12972.325859804503,-15093.103950804707,-15231.59535119506,-15289.665179828715,0
7,20445.22884161644,22394.166731486723,16396.165871391648,6996.63203934622,21584.363078139013,280.3355622491576,23625.032521786245,-5891.517155856916,9784.43084862416,-6224.289907472724,21533.043475928513,-12722.478075175171,5821.466792909312,20400.614762342855,-13252.169683704953,20285.995023607913,-12971.208272648351,-15092.254584566032,-15229.896618717708,-15289.307551938746,0
8,20444.200661432784,22393.362068734292,16396.747016712845,6996.274411456252,21583.69252584532,283.33069582764483,23624.227859033814,-5889.550202462089,9785.682546239052,-6220.80303554553,21533.53521427722,-12718.097133523055,5823.9254846528465,20402.358198306454,-13247.252300217884,20286.933796819078,-12966.112075216299,-15087.471311537702,-15225.828601469315,-15284.34546496543,0
9,20444.424178864014,22393.451475706785,16396.031760932907,6996.095597511267,21586.91117685504,286.0129050024095,23626.82066123609,-5885.1245573237275,9787.649499633879,-6219.014896095687,21535.50216767205,-12716.89013939441,5823.9254846528465,20403.967523811312,-13244.79360847435,20288.856046727662,-12964.234528793962,-15086.487834840289,-15225.515677065592,-15282.914953405556,0
10,20444.200661432784,22393.004440844325,16395.942353960418,6994.486272006408,21588.922833736113,287.17519564480756,23629.458166924607,-5884.766929433759,9790.689336698611,-6215.706838113477,21539.48077794795,-12712.732715173526,5824.998368322752,20407.454395738507,-13242.111399299585,20292.83465700356,-12960.926470811753,-15082.106893188173,-15221.045328440983,-15279.070453588394,0
11,20443.038370790386,22392.15507460565,16394.377731941804,6992.921649987796,21588.922833736113,287.0857886723154,23632.095672613126,-5884.40930154379,9792.432772662209,-6215.840948572216,21541.939469691482,-12712.062162879834,5826.294769423888,20409.91308748204,-13241.440847005895,20294.712203425897,-12960.345325490554,-15081.525747866974,-15220.50888660603,-15278.444604780949,0
12,20441.920783634232,22390.590452587036,16392.991923868176,6991.669952372906,21588.922833736113,286.59405032360854,23633.481480686754,-5884.811632920005,9793.952691194576,-6216.064466003446,21543.057056847636,-12714.431447650877,5825.266589240228,20409.778977023303,-13243.184282969492,20294.980424343372,-12962.088761454152,-15084.565584931706,-15222.162915597137,-15280.411558175776,0
13,20441.74196968925,22390.99278396325,16391.874336712022,6991.714655859152,21588.654612818635,285.52116665370266,23631.961562154385,-5886.420958424864,9793.371545873377,-6218.344343801996,21542.43120804019,-12714.878482513337,5823.567856762877,20408.66138986715,-13245.37475379555,20293.415802324762,-12964.323935766455,-15085.280840711644,-15224.800421285654,-15282.557325515589,0
14,20444.82651024023,22394.166731486723,16395.987057446662,6993.10046393278,21591.02389758968,286.59405032360854,23634.375550411674,-5884.543412002528,9792.656290093439,-6218.6572682057185,21543.81701611382,-12717.426581229363,5823.031414927925,20409.734273537055,-13246.805265355424,20293.952244159715,-12965.843854298822,-15087.739532455178,-15226.007415414299,-15284.434871937923,0
15,20446.30172528635,22395.820760477825,16396.076464419155,6992.2063942078585,21592.812037039523,288.5163002321899,23635.984875916532,-5881.592981910288,9792.388069175962,-6216.064466003446,21544.979306756217,-12713.313860494725,5824.238409056568,20409.644866564566,-13242.73724810703,20295.159238288357,-12961.686430077936,-15083.760922179277,-15221.849991193414,-15280.59037212076,0
16,20446.257021800102,22395.418429101614,16397.14934808906,6993.413388336503,21591.24741502091,289.67859087458794,23633.213259769276,-5880.564801726628,9791.672813396026,-6215.662134627231,21544.174644003786,-12713.895005815924,5823.836077680354,20410.40482583075,-13242.916062052016,20295.338052233343,-12961.507616132953,-15083.805625665524,-15221.492363303445,-15281.082110469468,0
17,20443.843033542813,22393.58558616552,16396.031760932907,6993.771016226471,21590.621566213464,290.30443968203303,23632.274486558108,-5880.251877322905,9791.136371561073,-6212.845814993728,21543.10176033388,-12711.838645448604,5826.562990341365,20409.287238674595,-13239.965631959774,20294.265168563437,-12959.13833136191,-15080.676381628298,-15219.212485504895,-15278.265790835965,0
18,20443.932440515306,22392.333888550635,16396.747016712845,6993.771016226471,21590.08512437851,290.30443968203303,23632.676817934323,-5880.475394754136,9791.091668074827,-6213.829291691142,21544.308754462527,-12710.63165131996,5828.664054194931,20411.5224129869,-13239.697411042298,20295.561569664573,-12959.272441820647,-15080.274050252083,-15217.826677431267,-15277.05879670732,0
19,20445.72057996515,22395.239615156628,16396.25527836414,6993.145167419027,21591.739153369614,285.56587013994874,23634.956695732875,-5886.286847966126,9791.717516882272,-6217.942012425781,21545.649859049907,-12714.61026159586,5829.111089057391,20412.014151335607,-13243.139579483246,20296.545046361985,-12962.982831179073,-15083.760922179277,-15219.748927339848,-15280.411558175776,0
