,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR12
1,4534,61.853,NaN,2.758,4.948,2,0.41973,-0.031579,NaN
2,4534.5,49.518,NaN,2.762,4.96,2,0.30655,-0.034211,NaN
3,4535,41.644,NaN,2.758,4.924,2,0.24341,-0.031579,NaN
4,4535.5,30.644,0.954,2.752,4.725,2,0.16554,-0.027632,1.5234
5,4536,25.233,0.959,2.736,4.494,2,0.13122,-0.017105,1.1037
6,4536.5,20.29,0.959,2.729,4.462,2,0.10194,-0.0125,0.75003
7,4537,21.199,0.955,2.725,4.454,2,0.10718,-0.0098684,0.81361
8,4537.5,23.27,0.95,2.726,4.342,2,0.11936,-0.010526,0.96258
9,4538,25.269,0.944,2.727,4.156,2,0.13144,-0.011184,1.1108
10,4538.5,25.311,0.892,2.73,4,2,0.13169,-0.013158,1.1409
11,4539,24.659,0.78,2.733,4.055,2,0.12772,-0.015132,1.1502
12,4539.5,23.24,0.669,2.742,4.22,2,0.11918,-0.021053,1.1062
13,4540,21.157,0.58,2.746,4.39,2,0.10694,-0.023684,1.0051
14,4540.5,19.142,0.56,2.747,4.483,2,0.095411,-0.024342,0.87711
15,4541,17.096,0.544,2.745,4.521,2,0.084019,-0.023026,0.74774
16,4541.5,15.922,0.54,2.739,4.558,2,0.07762,-0.019079,0.67098
17,4542,15.907,0.54,2.731,4.614,2,0.077539,-0.013816,0.66738
18,4542.5,16.438,0.54,2.72,4.693,2,0.08042,-0.0065789,0.69833
19,4543,17.596,0.54,2.711,4.735,2,0.086775,-0.00065789,0.77162
20,4543.5,18.378,0.606,2.712,4.623,2,0.091121,-0.0013158,0.79111
21,4544,18.842,0.696,2.714,4.416,2,0.093722,-0.0026316,0.77797
22,4544.5,19.352,0.786,2.723,4.388,2,0.096598,-0.0085526,0.77046
23,4545,19.77,0.876,2.724,4.41,2,0.098971,-0.0092105,0.75425
24,4545.5,19.22,0.95,2.722,4.44,2,0.095852,-0.0078947,0.67917
25,4546,18.45,0.98,2.716,4.43,2,0.091524,-0.0039474,0.61026
26,4546.5,17.834,0.953,2.708,4.312,2,0.088093,0.0013158,0.57995
27,4547,17.831,0.86,2.708,4.313,2,0.088076,0.0013158,0.62625
28,4547.5,17.448,0.807,2.708,4.31,2,0.085957,0.0013158,0.62733
29,4548,16.961,0.78,2.71,4.285,2,0.083278,0,0.60934
